                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 0.6604,                0.42848,                0.93483,                0.79873,                0.89557,                0.83985,                0.63857,                 1.1177,                0.71822,                 1.4177,             0.00029696,             0.00029696,             0.00029696
                     68,                0.65142,                0.42986,                0.93766,                0.80405,                0.93324,                0.84975,                0.63448,                 1.1129,                0.63874,                 1.4149,             0.00028872,             0.00028872,             0.00028872
                     69,                0.66189,                0.43443,                0.94235,                0.81268,                0.92207,                0.84602,                0.63554,                  1.115,                0.67903,                 1.4094,             0.00028047,             0.00028047,             0.00028047
                     70,                 0.6615,                0.42994,                0.93494,                0.80452,                0.87852,                0.83813,                0.63076,                 1.1078,                0.71833,                 1.3954,             0.00027222,             0.00027222,             0.00027222
                     71,                0.64448,                0.43115,                0.93483,                0.79792,                 0.9075,                 0.8395,                0.63468,                 1.1103,                0.69148,                 1.4141,             0.00026398,             0.00026398,             0.00026398
                     72,                 0.6344,                0.41189,                0.93803,                0.80096,                 0.8897,                0.83137,                0.62069,                 1.1009,                0.71123,                 1.4088,             0.00025573,             0.00025573,             0.00025573
                     73,                0.64112,                 0.4223,                0.92589,                 0.7886,                0.90494,                 0.8392,                 0.6288,                 1.0993,                 0.6972,                 1.4034,             0.00024748,             0.00024748,             0.00024748
                     74,                 0.6434,                0.42613,                0.93196,                0.80963,                0.90829,                0.84655,                0.64082,                 1.1018,                0.70353,                 1.4053,             0.00023924,             0.00023924,             0.00023924
                     75,                0.63292,                0.41693,                0.91801,                0.79852,                0.88853,                0.83839,                 0.6368,                 1.1142,                0.68469,                  1.424,             0.00023099,             0.00023099,             0.00023099
                     76,                0.62373,                0.41178,                0.92684,                 0.8056,                0.91158,                0.84156,                0.63016,                 1.1261,                0.71839,                 1.4267,             0.00022274,             0.00022274,             0.00022274
                     77,                0.64175,                0.41148,                0.93267,                0.81805,                0.87545,                0.83787,                0.63712,                 1.1114,                 0.7132,                 1.4212,              0.0002145,              0.0002145,              0.0002145
                     78,                0.62438,                0.40845,                0.92394,                0.81212,                0.88506,                0.83786,                0.63846,                 1.1111,                0.70743,                 1.4323,             0.00020625,             0.00020625,             0.00020625
