                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                0.71153,                0.40396,                0.97398,                0.93243,                 0.7213,                0.74107,                0.55593,                 1.1706,                0.59262,                 1.4647,             0.00047839,             0.00047839,             0.00047839
                     46,                0.69067,                0.41261,                0.96706,                0.92252,                0.71999,                0.73391,                0.54532,                 1.1976,                 0.5885,                 1.4846,             0.00047015,             0.00047015,             0.00047015
                     47,                0.68398,                0.40118,                0.97129,                0.93405,                0.71091,                 0.7401,                0.55027,                 1.2028,                0.59379,                 1.5017,              0.0004619,              0.0004619,              0.0004619
                     48,                0.71669,                 0.4033,                 0.9602,                0.92183,                0.72196,                0.73955,                0.55007,                 1.2104,                0.58735,                 1.5133,             0.00045365,             0.00045365,             0.00045365
                     49,                0.66856,                0.37771,                0.95997,                0.93956,                0.71023,                0.73872,                0.55042,                 1.1909,                0.58693,                 1.4975,             0.00044541,             0.00044541,             0.00044541
                     50,                0.68482,                0.39822,                0.95822,                 0.7999,                0.71083,                0.73968,                 0.5447,                 1.1931,                0.58001,                 1.4704,             0.00043716,             0.00043716,             0.00043716
                     51,                0.65302,                0.37545,                0.94809,                 0.9223,                0.69638,                0.74469,                0.56037,                 1.2043,                0.59469,                 1.4971,             0.00042891,             0.00042891,             0.00042891
                     52,                0.63446,                0.36844,                0.92905,                0.92377,                0.72163,                0.73896,                0.56517,                 1.1626,                0.58193,                  1.464,             0.00042066,             0.00042066,             0.00042066
                     53,                0.62923,                0.37238,                0.93321,                0.93846,                0.70054,                0.73913,                0.55576,                 1.2047,                 0.5902,                 1.4904,             0.00041242,             0.00041242,             0.00041242
                     54,                0.63256,                0.37898,                0.93161,                 0.7976,                0.68759,                 0.7191,                0.53535,                 1.1929,                0.58949,                 1.5154,             0.00040417,             0.00040417,             0.00040417
                     55,                0.62402,                0.36984,                0.94082,                0.94321,                0.71544,                 0.7437,                0.55816,                 1.2038,                 0.5969,                 1.5182,             0.00039592,             0.00039592,             0.00039592
                     56,                0.62701,                0.36541,                0.93723,                0.93762,                0.70949,                0.74055,                0.56226,                 1.1743,                0.59179,                 1.4824,             0.00038768,             0.00038768,             0.00038768
                     57,                0.63847,                0.38306,                0.93753,                 0.9388,                0.71484,                0.73809,                0.55523,                 1.1853,                0.58663,                 1.5023,             0.00037943,             0.00037943,             0.00037943
                     58,                 0.6152,                0.36959,                0.93634,                0.92009,                0.70323,                0.73187,                0.54999,                 1.2465,                0.60431,                 1.5574,             0.00037118,             0.00037118,             0.00037118
                     59,                0.60508,                0.35773,                0.91572,                 0.9201,                 0.7185,                0.73776,                0.55584,                  1.229,                 0.5877,                 1.5117,             0.00036294,             0.00036294,             0.00036294
                     60,                0.61003,                0.35356,                0.92537,                0.66591,                0.82893,                0.73901,                0.55091,                 1.2036,                0.58396,                 1.5112,             0.00035469,             0.00035469,             0.00035469
                     61,                0.60402,                0.34555,                0.92223,                0.93416,                0.71157,                0.74366,                0.57058,                 1.1698,                0.55167,                 1.4819,             0.00034644,             0.00034644,             0.00034644
                     62,                0.59445,                0.34918,                0.91345,                0.64219,                0.82592,                0.74258,                0.56294,                 1.1656,                0.58924,                 1.4748,              0.0003382,              0.0003382,              0.0003382
                     63,                0.59905,                0.34436,                0.92431,                0.94044,                0.70539,                0.74128,                0.56122,                 1.1685,                0.58007,                  1.493,             0.00032995,             0.00032995,             0.00032995
                     64,                0.59068,                0.34995,                0.92108,                0.65387,                0.81977,                0.74461,                0.56069,                 1.1792,                0.60739,                 1.5093,              0.0003217,              0.0003217,              0.0003217
                     65,                0.60134,                0.34927,                 0.9204,                0.63651,                0.81664,                0.75105,                 0.5756,                 1.1604,                0.60882,                 1.4725,             0.00031346,             0.00031346,             0.00031346
                     66,                0.58594,                  0.348,                0.91201,                 0.8068,                0.70438,                0.75461,                0.57528,                 1.1842,                0.61017,                 1.4826,             0.00030521,             0.00030521,             0.00030521
                     67,                0.57483,                0.33449,                0.91809,                0.63888,                0.79269,                0.75058,                0.57582,                 1.1865,                0.59293,                 1.5094,             0.00029696,             0.00029696,             0.00029696
                     68,                 0.5376,                0.32599,                0.89632,                0.65886,                0.75566,                0.74385,                0.56964,                 1.1786,                0.63035,                 1.5089,             0.00028872,             0.00028872,             0.00028872
                     69,                0.55023,                0.32976,                0.90275,                 0.8098,                 0.7082,                0.74101,                0.55559,                 1.2174,                0.62234,                 1.5502,             0.00028047,             0.00028047,             0.00028047
                     70,                 0.5495,                0.32912,                0.89947,                0.81951,                0.70189,                0.73935,                0.55042,                 1.2003,                0.60707,                 1.5176,             0.00027222,             0.00027222,             0.00027222
                     71,                0.53666,                0.32042,                0.90559,                 0.8059,                0.70758,                0.72411,                0.55916,                 1.1813,                0.59685,                 1.5358,             0.00026398,             0.00026398,             0.00026398
                     72,                 0.5351,                0.32734,                0.89496,                0.81251,                0.70685,                0.73348,                0.55805,                 1.1836,                0.60113,                 1.5251,             0.00025573,             0.00025573,             0.00025573
                     73,                0.52808,                 0.3252,                0.89925,                0.81641,                0.71812,                0.73273,                0.56455,                 1.1665,                0.61391,                 1.5144,             0.00024748,             0.00024748,             0.00024748
                     74,                0.53238,                0.31243,                0.89637,                0.80975,                0.71218,                0.73559,                0.55953,                 1.1996,                0.64615,                 1.5466,             0.00023924,             0.00023924,             0.00023924
                     75,                0.52148,                0.31206,                0.89178,                0.81463,                0.71134,                0.73821,                0.56052,                 1.1865,                0.64725,                 1.5334,             0.00023099,             0.00023099,             0.00023099
                     76,                0.52103,                0.31368,                0.89229,                0.80981,                0.70405,                0.74357,                 0.5739,                 1.1795,                0.62167,                 1.5063,             0.00022274,             0.00022274,             0.00022274
                     77,                0.50919,                0.30671,                0.88665,                0.93319,                0.70776,                0.74395,                0.56564,                 1.1939,                0.59956,                 1.5118,              0.0002145,              0.0002145,              0.0002145
                     78,                0.50748,                0.30826,                0.89627,                0.81889,                0.70021,                 0.7352,                0.56392,                 1.1616,                0.60447,                 1.4923,             0.00020625,             0.00020625,             0.00020625
                     79,                0.50796,                0.30328,                0.89304,                 0.9417,                0.71322,                0.74032,                0.57354,                 1.1669,                0.60674,                 1.5234,               0.000198,               0.000198,               0.000198
                     80,                0.49595,                0.30655,                0.88032,                0.82092,                0.71069,                0.73796,                0.55695,                 1.1833,                0.60198,                 1.5454,             0.00018976,             0.00018976,             0.00018976
                     81,                 0.4932,                0.29923,                0.87791,                0.93972,                0.72084,                0.73888,                0.55252,                 1.1809,                0.61106,                 1.5356,             0.00018151,             0.00018151,             0.00018151
                     82,                0.48177,                0.29412,                0.87608,                0.81784,                0.71943,                0.74278,                0.56352,                  1.173,                0.59495,                 1.5287,             0.00017326,             0.00017326,             0.00017326
                     83,                0.50159,                0.29514,                0.88714,                0.65998,                0.78713,                0.74124,                0.56496,                 1.1711,                0.58895,                 1.5218,             0.00016502,             0.00016502,             0.00016502
                     84,                0.46482,                0.27739,                0.86955,                 0.9443,                 0.7134,                0.73522,                0.56337,                 1.1767,                0.57677,                 1.5567,             0.00015677,             0.00015677,             0.00015677
                     85,                0.47386,                0.28482,                0.87731,                0.66149,                0.78863,                0.73644,                0.56358,                 1.1652,                0.57279,                 1.5553,             0.00014852,             0.00014852,             0.00014852
                     86,                0.46192,                0.28385,                0.87911,                 0.6612,                0.79154,                0.74037,                0.56302,                 1.1673,                0.59281,                 1.5502,             0.00014028,             0.00014028,             0.00014028
                     87,                0.45654,                 0.2755,                0.86271,                0.94462,                0.71189,                0.73721,                0.57288,                 1.1662,                0.61687,                 1.5491,             0.00013203,             0.00013203,             0.00013203
                     88,                0.45644,                0.27989,                0.87095,                0.95044,                0.70882,                0.72746,                0.55447,                 1.1717,                0.60082,                 1.5735,             0.00012378,             0.00012378,             0.00012378
                     89,                0.44196,                0.27525,                  0.857,                0.94216,                0.70466,                0.73186,                0.55798,                 1.1757,                0.58838,                 1.5558,             0.00011554,             0.00011554,             0.00011554
                     90,                0.43635,                0.26811,                0.86113,                 0.9466,                 0.7138,                0.73357,                 0.5623,                 1.1648,                 0.5903,                 1.5502,             0.00010729,             0.00010729,             0.00010729
                     91,                0.39354,                0.24575,                0.86577,                0.94779,                0.71013,                0.73622,                0.56095,                 1.1603,                0.57578,                  1.545,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     92,                0.38433,                0.23758,                0.85693,                0.95035,                0.71278,                0.74009,                0.56241,                 1.1707,                0.58875,                 1.5575,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     93,                0.37474,                0.23623,                0.84743,                 0.9481,                0.71391,                0.73942,                0.56279,                 1.1674,                0.58698,                 1.5568,              8.255e-05,              8.255e-05,              8.255e-05
                     94,                0.36615,                0.23068,                0.84381,                0.64836,                0.79974,                0.73388,                0.56086,                 1.1557,                0.59003,                 1.5393,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     95,                0.36141,                0.22984,                0.84799,                0.93175,                0.71133,                0.72844,                0.56203,                 1.1506,                0.58207,                 1.5371,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     96,                0.34757,                0.22326,                0.83637,                0.93656,                0.70264,                0.72883,                0.56076,                 1.1486,                0.58788,                 1.5483,              5.781e-05,              5.781e-05,              5.781e-05
                     97,                0.35134,                0.22086,                0.83978,                0.94218,                 0.7134,                0.72857,                 0.5565,                 1.1557,                0.58479,                 1.5638,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     98,                0.35599,                0.22396,                0.84503,                0.94287,                 0.7134,                 0.7277,                0.55709,                 1.1615,                0.58299,                 1.5696,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     99,                0.35021,                 0.2195,                0.84458,                0.94521,                0.71436,                0.72869,                0.56054,                 1.1631,                0.59109,                 1.5702,              3.307e-05,              3.307e-05,              3.307e-05
                    100,                0.34154,                0.22006,                0.83586,                0.93987,                0.71131,                0.73053,                0.55979,                 1.1616,                0.58787,                 1.5628,             2.4823e-05,             2.4823e-05,             2.4823e-05
